id,product_category,product_subcategory,quantity_kg,unit_price_initial,days_until_expiry,storage_condition,packaging_type,collection_datetime,day_of_week,month_of_year,season,is_holiday,pickup_store_id,pickup_city,distance_to_partner_km,partner_id_destination,partner_storage_capacity,partner_typical_demand,weather_temperature,rainfall_mm,time_to_sell_hours,was_sold,final_discount_rate,wastage_reason,partner_satisfaction_score
4664,Surgelés,Légumes surgelés,15.5,2.47,41,Surgelé,Carton,2025-02-16 04:00:00,Sunday,2,Sèche,0,S019,Abidjan,9.4,P011,1109,487.5,29.4,8.1,249.1,1,73.9,,4
4665,Épicerie Sèche,Riz,32.7,1.91,72,Sec,Sachet,2024-07-03 19:00:00,Wednesday,7,Pluies,0,S035,Abidjan,13.4,P001,1315,571.4,30.5,0.6,316.3,1,64.9,,4
4666,Surgelés,Plats préparés surgelés,16.6,3.57,44,Surgelé,Carton,2025-01-14 18:00:00,Tuesday,1,Sèche,0,S009,Bouaké,38.1,P010,643,527.4,30.1,0.0,240.7,1,65.7,,3
4667,Viande & Poisson,Boeuf,111.7,5.36,1,Frais,Carton,2024-08-28 17:00:00,Wednesday,8,Pluies,0,S028,Abidjan,22.9,P011,212,358.9,30.9,0.2,11.3,1,36.0,,2
4668,Fruits & Légumes,Légumes feuilles,12.4,1.36,3,Frais,Plastique,2024-07-30 05:00:00,Tuesday,7,Pluies,0,S034,Yamoussoukro,29.0,P019,1884,374.9,28.1,7.6,18.5,1,69.3,,3
4669,Viande & Poisson,Volaille,12.1,5.69,1,Frais,Sachet,2024-12-11 23:00:00,Wednesday,12,Sèche,0,S005,San-Pédro,17.8,P005,558,103.1,26.9,3.5,9.9,1,75.6,,2
4670,Viande & Poisson,Poisson frais,13.3,5.24,1,Frais,Sachet,2024-06-18 11:00:00,Tuesday,6,Pluies,0,S004,Abidjan,40.2,P009,1636,170.2,25.8,2.4,12.3,1,33.1,,3
4671,Viande & Poisson,Poisson frais,12.8,5.11,1,Frais,Carton,2025-01-03 12:00:00,Friday,1,Sèche,0,S028,Abidjan,2.1,P015,1050,718.3,28.9,0.4,12.4,0,67.7,Surstock partenaire (capacité pleine),2
4672,Produits Laitiers,Beurre,17.5,1.7,1,Frais,Plastique,2025-04-05 18:00:00,Saturday,4,Pluies,0,S007,San-Pédro,35.3,P021,547,304.2,25.6,2.3,17.8,0,64.9,Surstock partenaire (capacité pleine),2
4673,Fruits & Légumes,Agrumes,3.2,1.4,1,Frais,Vrac,2024-02-01 23:00:00,Thursday,2,Sèche,0,S002,Yamoussoukro,21.6,P025,748,596.0,29.9,5.7,12.3,1,54.9,,2
4674,Viande & Poisson,Volaille,37.6,4.65,1,Frais,Plastique,2025-02-14 20:00:00,Friday,2,Sèche,0,S032,Abidjan,13.5,P013,245,672.6,28.9,0.0,9.0,1,38.8,,3
4675,Épicerie Sèche,Pâtes,44.2,2.15,42,Sec,Vrac,2024-12-21 20:00:00,Saturday,12,Sèche,1,S026,Bouaké,21.2,P007,1975,34.2,30.3,1.6,163.5,1,49.1,,4
4676,Surgelés,Plats préparés surgelés,29.4,2.75,22,Surgelé,Plastique,2024-03-02 08:00:00,Saturday,3,Sèche,0,S008,Abidjan,37.5,P025,491,509.5,29.6,3.1,125.7,1,35.7,,1
4677,Boulangerie,Viennoiserie,12.5,1.5,1,Ambiante,Sachet,2025-04-23 04:00:00,Wednesday,4,Pluies,0,S034,Bouaké,11.6,P002,373,270.6,28.7,2.7,12.1,1,62.6,,4
4678,Fruits & Légumes,Fruits à noyau,26.4,1.53,1,Frais,Carton,2024-02-12 18:00:00,Monday,2,Sèche,0,S027,Abidjan,38.7,P006,431,776.0,33.6,11.6,15.9,0,69.5,Surstock partenaire (capacité pleine),1
4679,Viande & Poisson,Poisson frais,98.4,4.39,1,Frais,Carton,2025-04-01 03:00:00,Tuesday,4,Pluies,0,S010,Abidjan,4.8,P019,776,683.8,31.7,2.0,13.5,0,53.3,Problème logistique / retard transport,1
4680,Boulangerie,Viennoiserie,18.2,1.94,1,Ambiante,Plastique,2025-04-11 16:00:00,Friday,4,Pluies,0,S012,Korhogo,3.0,P004,724,496.7,29.5,0.7,16.1,0,62.8,Problème logistique / retard transport,2
4681,Fruits & Légumes,Légumes racines,12.5,1.0,1,Frais,Carton,2024-10-10 19:00:00,Thursday,10,Pluies,0,S026,Abidjan,5.6,P021,1530,248.0,24.9,7.5,18.3,0,68.8,Refusé par partenaire (qualité),3
4682,Boulangerie,Pâtisserie,20.1,1.24,1,Ambiante,Plastique,2024-08-16 04:00:00,Friday,8,Pluies,0,S033,Bouaké,6.3,P015,1381,520.0,28.0,2.6,10.9,1,33.4,,4
4683,Boulangerie,Viennoiserie,39.6,1.44,1,Ambiante,Plastique,2024-06-04 12:00:00,Tuesday,6,Pluies,0,S002,Abidjan,20.2,P018,761,41.8,29.4,3.1,10.8,1,64.5,,2
4684,Viande & Poisson,Charcuterie,25.9,4.11,2,Frais,Carton,2024-10-17 19:00:00,Thursday,10,Pluies,0,S033,Korhogo,29.4,P024,1451,100.4,28.7,0.0,18.5,1,31.2,,4
4685,Surgelés,Viande surgelée,157.1,3.15,22,Surgelé,Carton,2025-03-08 13:00:00,Saturday,3,Sèche,1,S004,San-Pédro,7.8,P009,792,594.0,24.4,3.7,185.1,0,53.2,Périmé avant collecte partenaire,1
4686,Produits Laitiers,Fromage,39.1,1.87,4,Frais,Carton,2025-03-02 04:00:00,Sunday,3,Sèche,1,S009,Abidjan,1.4,P014,785,433.6,25.0,6.5,20.8,1,39.9,,3
4687,Boulangerie,Pâtisserie,42.3,1.85,1,Ambiante,Carton,2024-01-28 20:00:00,Sunday,1,Sèche,0,S015,San-Pédro,21.5,P009,596,652.0,27.7,0.9,10.7,1,30.4,,4
4688,Fruits & Légumes,Agrumes,47.9,1.48,2,Frais,Plastique,2024-02-11 05:00:00,Sunday,2,Sèche,0,S039,Yamoussoukro,24.9,P017,1863,393.8,21.5,1.6,15.1,1,49.9,,4
4689,Viande & Poisson,Volaille,38.4,3.78,1,Frais,Vrac,2025-01-14 09:00:00,Tuesday,1,Sèche,0,S012,Abidjan,14.3,P019,454,296.5,31.9,1.8,11.9,1,67.4,,5
4690,Produits Laitiers,Fromage,46.0,2.59,4,Frais,Plastique,2025-04-23 07:00:00,Wednesday,4,Pluies,0,S021,Abidjan,14.4,P006,1321,592.7,32.0,0.7,25.1,1,76.1,,4
4691,Surgelés,Légumes surgelés,24.2,3.74,1,Surgelé,Vrac,2024-01-07 07:00:00,Sunday,1,Sèche,0,S039,Yamoussoukro,44.7,P013,645,692.3,29.3,9.9,11.6,1,76.7,,4
4692,Fruits & Légumes,Fruits à coque,23.5,1.28,2,Frais,Plastique,2024-11-11 09:00:00,Monday,11,Sèche,0,S007,Abidjan,26.1,P009,1733,660.0,27.5,11.5,16.2,1,58.2,,3
4693,Boulangerie,Pâtisserie,33.8,1.77,1,Ambiante,Carton,2024-10-19 21:00:00,Saturday,10,Pluies,0,S019,San-Pédro,42.8,P021,1372,381.7,30.9,0.9,11.2,1,35.5,,3
4694,Fruits & Légumes,Légumes racines,40.7,1.33,1,Frais,Plastique,2025-05-13 06:00:00,Tuesday,5,Pluies,0,S040,Abidjan,4.7,P010,1019,715.0,30.9,0.8,11.7,1,36.2,,5
4695,Produits Laitiers,Yaourt,8.6,1.74,4,Frais,Vrac,2024-09-09 13:00:00,Monday,9,Pluies,0,S012,Abidjan,13.7,P003,231,331.8,25.7,1.8,31.1,1,63.7,,4
4696,Boulangerie,Viennoiserie,16.3,1.66,2,Ambiante,Plastique,2025-06-02 23:00:00,Monday,6,Pluies,0,S038,Bouaké,8.3,P017,225,731.1,23.3,3.0,12.8,1,42.3,,4
4697,Fruits & Légumes,Fruits à noyau,11.3,1.29,1,Frais,Vrac,2024-05-08 17:00:00,Wednesday,5,Pluies,0,S006,Abidjan,24.5,P002,389,81.6,33.6,1.0,11.5,1,60.9,,5
4698,Fruits & Légumes,Légumes racines,13.6,0.98,2,Frais,Vrac,2024-07-25 00:00:00,Thursday,7,Pluies,0,S008,Bouaké,34.0,P013,1582,277.6,24.0,0.1,18.7,1,56.0,,5
4699,Produits Laitiers,Fromage,10.3,2.45,4,Frais,Plastique,2024-01-06 11:00:00,Saturday,1,Sèche,0,S039,Korhogo,40.0,P019,1603,373.7,26.0,0.2,30.4,1,58.3,,2
4700,Viande & Poisson,Charcuterie,9.3,4.31,1,Frais,Sachet,2024-09-23 00:00:00,Monday,9,Pluies,0,S028,Yamoussoukro,8.0,P021,301,757.5,29.3,1.9,11.3,1,47.5,,4
4701,Boulangerie,Pain,21.2,1.56,1,Ambiante,Carton,2025-01-10 07:00:00,Friday,1,Sèche,0,S030,Abidjan,12.1,P023,1456,230.9,31.9,4.8,15.7,0,87.0,Refusé par partenaire (qualité),1
4702,Viande & Poisson,Poisson frais,21.1,4.34,1,Frais,Vrac,2024-11-01 07:00:00,Friday,11,Sèche,0,S037,Abidjan,7.9,P001,1743,360.0,30.3,0.3,11.3,1,73.3,,3
4703,Fruits & Légumes,Légumes feuilles,8.0,1.42,2,Frais,Vrac,2024-04-01 09:00:00,Monday,4,Pluies,1,S040,Abidjan,44.2,P025,1964,702.0,26.9,3.6,9.8,1,65.3,,4
4704,Boulangerie,Viennoiserie,14.4,1.74,1,Ambiante,Vrac,2024-05-06 12:00:00,Monday,5,Pluies,0,S019,Korhogo,11.6,P010,100,348.2,29.3,0.4,14.0,0,53.4,Refusé par partenaire (qualité),3
4705,Fruits & Légumes,Fruits à coque,47.0,1.01,1,Frais,Carton,2024-04-18 12:00:00,Thursday,4,Pluies,0,S024,Abidjan,36.8,P014,123,172.4,27.9,1.6,12.9,1,32.0,,3
4706,Fruits & Légumes,Légumes racines,16.8,1.07,1,Frais,Sachet,2024-03-26 16:00:00,Tuesday,3,Sèche,1,S024,Abidjan,15.7,P008,1396,759.1,30.7,0.6,14.8,0,64.2,Périmé avant collecte partenaire,2
4707,Produits Laitiers,Lait,200.7,2.28,2,Frais,Vrac,2025-02-15 02:00:00,Saturday,2,Sèche,0,S033,Abidjan,30.7,P018,1699,687.8,33.1,1.6,15.1,1,76.4,,5
4708,Boulangerie,Viennoiserie,11.1,1.54,1,Ambiante,Carton,2024-09-12 01:00:00,Thursday,9,Pluies,0,S007,Abidjan,22.7,P011,1155,525.6,29.7,5.0,11.3,1,39.2,,3
4709,Produits Laitiers,Yaourt,17.2,1.98,4,Frais,Vrac,2024-11-22 06:00:00,Friday,11,Sèche,0,S028,Abidjan,25.8,P011,1248,528.3,26.9,4.1,21.0,1,54.9,,4
4710,Fruits & Légumes,Fruits à noyau,12.0,1.17,2,Frais,Vrac,2024-10-15 12:00:00,Tuesday,10,Pluies,0,S034,Bouaké,13.2,P013,691,138.9,31.1,0.9,13.8,1,48.8,,5
4711,Boulangerie,Pâtisserie,43.8,1.55,1,Ambiante,Plastique,2025-05-19 13:00:00,Monday,5,Pluies,0,S012,Abidjan,27.4,P016,718,146.9,20.2,0.9,10.4,1,73.9,,4
4712,Viande & Poisson,Poisson frais,37.0,5.66,2,Frais,Carton,2024-11-14 09:00:00,Thursday,11,Sèche,0,S015,Abidjan,28.1,P021,473,612.2,28.2,3.3,17.4,1,42.3,,3
4713,Fruits & Légumes,Agrumes,9.1,1.52,1,Frais,Plastique,2025-06-02 18:00:00,Monday,6,Pluies,0,S027,San-Pédro,5.3,P009,1026,215.3,30.9,2.1,18.6,0,70.5,Refusé par partenaire (qualité),2
4714,Fruits & Légumes,Agrumes,18.2,1.32,1,Frais,Carton,2024-06-04 20:00:00,Tuesday,6,Pluies,0,S038,Abidjan,34.7,P023,885,700.0,32.3,8.5,11.6,1,36.1,,4
4715,Fruits & Légumes,Légumes feuilles,34.8,1.52,2,Frais,Vrac,2024-08-24 19:00:00,Saturday,8,Pluies,0,S002,San-Pédro,15.8,P008,1034,567.8,29.2,2.7,18.0,1,70.1,,4
4716,Viande & Poisson,Charcuterie,51.0,5.53,2,Frais,Vrac,2025-03-25 04:00:00,Tuesday,3,Sèche,1,S027,Bouaké,28.9,P018,916,639.7,34.0,0.2,23.2,0,83.4,Surstock partenaire (capacité pleine),3
4717,Fruits & Légumes,Agrumes,42.7,1.39,2,Frais,Vrac,2025-01-17 06:00:00,Friday,1,Sèche,0,S006,Yamoussoukro,20.4,P023,1229,571.1,25.6,0.6,19.9,0,79.6,Refusé par partenaire (qualité),1
4718,Fruits & Légumes,Fruits à coque,26.8,1.34,1,Frais,Carton,2024-06-11 07:00:00,Tuesday,6,Pluies,0,S027,Yamoussoukro,26.0,P003,1989,423.5,31.9,6.8,15.4,0,80.8,Refusé par partenaire (qualité),2
4719,Viande & Poisson,Boeuf,67.9,5.44,1,Frais,Vrac,2025-01-31 05:00:00,Friday,1,Sèche,0,S003,Abidjan,12.3,P025,364,243.0,29.9,5.8,19.3,0,52.4,Surstock partenaire (capacité pleine),1
4720,Fruits & Légumes,Fruits à noyau,14.5,1.28,1,Frais,Vrac,2024-01-01 17:00:00,Monday,1,Sèche,0,S034,Yamoussoukro,22.6,P003,62,442.8,30.8,0.2,24.0,0,84.1,Problème logistique / retard transport,1
4721,Produits Laitiers,Fromage,12.0,2.5,1,Frais,Vrac,2024-04-03 02:00:00,Wednesday,4,Pluies,1,S021,Abidjan,9.6,P025,360,545.8,29.6,8.8,10.6,0,53.6,Périmé avant collecte partenaire,2
4722,Viande & Poisson,Charcuterie,12.1,5.32,2,Frais,Plastique,2024-05-09 09:00:00,Thursday,5,Pluies,0,S015,Abidjan,31.7,P011,1477,34.1,28.2,1.0,16.1,1,53.9,,4
4723,Boulangerie,Pâtisserie,62.5,1.46,1,Ambiante,Carton,2024-09-16 01:00:00,Monday,9,Pluies,0,S007,Yamoussoukro,33.4,P025,1412,463.8,31.7,2.6,14.0,1,30.9,,3
4724,Boulangerie,Viennoiserie,13.9,1.9,1,Ambiante,Plastique,2025-06-13 17:00:00,Friday,6,Pluies,0,S008,Bouaké,11.3,P021,1669,676.2,29.0,9.3,17.5,0,80.5,Problème logistique / retard transport,2
4725,Boulangerie,Viennoiserie,22.7,1.83,1,Ambiante,Plastique,2024-06-25 07:00:00,Tuesday,6,Pluies,0,S025,Yamoussoukro,15.7,P011,130,237.0,25.8,6.1,17.9,0,86.6,Périmé avant collecte partenaire,1
4726,Boulangerie,Viennoiserie,17.4,1.54,1,Ambiante,Sachet,2024-09-01 15:00:00,Sunday,9,Pluies,0,S004,Bouaké,11.9,P003,1430,128.2,29.4,1.9,16.1,0,55.6,Surstock partenaire (capacité pleine),1
4727,Viande & Poisson,Volaille,24.8,4.64,2,Frais,Plastique,2024-03-20 04:00:00,Wednesday,3,Sèche,1,S001,Korhogo,44.1,P003,357,760.4,30.4,0.0,27.0,0,52.3,Problème logistique / retard transport,3
4728,Boulangerie,Pâtisserie,28.3,1.69,2,Ambiante,Carton,2025-04-14 06:00:00,Monday,4,Pluies,0,S027,Yamoussoukro,18.7,P019,1391,271.6,28.7,3.3,18.4,0,84.9,Problème logistique / retard transport,2
4729,Surgelés,Légumes surgelés,55.7,3.34,43,Surgelé,Plastique,2024-07-26 20:00:00,Friday,7,Pluies,0,S020,Abidjan,10.3,P021,551,91.1,27.9,3.0,363.3,0,79.2,Refusé par partenaire (qualité),2
4730,Épicerie Sèche,Céréales,70.9,2.17,11,Sec,Vrac,2024-12-28 08:00:00,Saturday,12,Sèche,1,S026,Yamoussoukro,43.1,P009,233,759.2,27.5,0.9,44.3,1,36.7,,4
4731,Fruits & Légumes,Fruits à noyau,10.7,1.42,1,Frais,Carton,2025-01-08 00:00:00,Wednesday,1,Sèche,0,S005,Yamoussoukro,35.2,P014,1034,563.5,27.7,4.4,13.3,1,33.2,,3
4732,Produits Laitiers,Lait,34.9,1.73,4,Frais,Carton,2025-02-05 11:00:00,Wednesday,2,Sèche,0,S039,Abidjan,44.2,P002,1978,795.3,34.0,6.8,24.8,1,44.5,,4
4733,Fruits & Légumes,Agrumes,34.9,1.32,3,Frais,Vrac,2025-03-19 22:00:00,Wednesday,3,Sèche,1,S030,Korhogo,26.9,P015,1516,57.4,31.4,4.7,20.8,1,61.8,,3
4734,Épicerie Sèche,Céréales,12.2,1.48,9,Sec,Sachet,2025-05-20 21:00:00,Tuesday,5,Pluies,0,S032,Bouaké,8.3,P023,530,314.8,29.4,0.2,51.8,1,48.1,,4
4735,Épicerie Sèche,Riz,74.3,2.26,27,Sec,Carton,2024-10-06 08:00:00,Sunday,10,Pluies,0,S027,Yamoussoukro,27.9,P001,368,325.3,31.9,1.0,133.1,1,42.2,,3
4736,Fruits & Légumes,Légumes racines,21.0,1.4,1,Frais,Plastique,2024-09-10 16:00:00,Tuesday,9,Pluies,0,S038,Bouaké,33.9,P011,1285,160.2,28.6,2.9,14.0,0,82.2,Refusé par partenaire (qualité),2
4737,Boulangerie,Viennoiserie,18.6,1.79,1,Ambiante,Plastique,2025-04-27 04:00:00,Sunday,4,Pluies,0,S032,Bouaké,3.8,P004,1855,95.3,27.9,7.1,10.8,1,74.6,,4
4738,Fruits & Légumes,Fruits à coque,9.0,1.54,2,Frais,Plastique,2025-05-16 19:00:00,Friday,5,Pluies,0,S036,Bouaké,38.9,P023,1914,49.1,30.1,3.9,13.7,1,63.4,,4
4739,Épicerie Sèche,Pâtes,9.7,1.58,67,Sec,Plastique,2025-06-18 21:00:00,Wednesday,6,Pluies,0,S010,San-Pédro,3.5,P019,966,53.0,26.4,11.7,271.0,1,75.6,,3
4740,Boulangerie,Pain,19.7,1.23,1,Ambiante,Vrac,2024-06-01 02:00:00,Saturday,6,Pluies,0,S003,Yamoussoukro,17.2,P008,1535,285.7,28.9,3.0,16.9,0,69.9,Périmé avant collecte partenaire,1
4741,Fruits & Légumes,Agrumes,6.8,1.31,2,Frais,Carton,2024-03-02 06:00:00,Saturday,3,Sèche,0,S014,San-Pédro,32.3,P009,942,343.6,28.9,2.3,17.7,1,70.3,,4
4742,Fruits & Légumes,Fruits à coque,12.4,1.28,1,Frais,Sachet,2024-12-01 19:00:00,Sunday,12,Sèche,0,S035,Bouaké,21.1,P013,1729,110.5,24.8,2.7,10.7,1,49.7,,4
4743,Fruits & Légumes,Légumes feuilles,53.1,1.16,2,Frais,Carton,2025-05-05 14:00:00,Monday,5,Pluies,0,S001,Abidjan,36.5,P025,1871,104.5,28.9,3.2,17.3,1,60.0,,3
4744,Surgelés,Légumes surgelés,11.4,3.05,25,Surgelé,Plastique,2024-01-04 04:00:00,Thursday,1,Sèche,0,S022,Abidjan,2.4,P017,1466,436.2,29.8,0.3,132.3,1,38.2,,3
4745,Surgelés,Plats préparés surgelés,19.4,2.77,44,Surgelé,Sachet,2024-02-24 08:00:00,Saturday,2,Sèche,0,S029,Abidjan,1.1,P018,1007,429.2,35.1,2.7,147.2,1,77.8,,3
4746,Produits Laitiers,Fromage,8.5,2.48,2,Frais,Vrac,2024-09-30 01:00:00,Monday,9,Pluies,0,S003,Bouaké,32.0,P021,1612,515.7,28.1,2.0,16.9,1,40.8,,4
4747,Surgelés,Viande surgelée,19.6,3.47,8,Surgelé,Vrac,2024-07-09 04:00:00,Tuesday,7,Pluies,0,S007,Bouaké,18.6,P016,1626,192.2,29.9,0.3,56.2,1,35.6,,1
4748,Produits Laitiers,Lait,13.2,1.99,2,Frais,Carton,2024-12-19 11:00:00,Thursday,12,Sèche,0,S031,San-Pédro,13.7,P012,1738,110.4,33.2,14.0,15.6,1,76.8,,3
4749,Viande & Poisson,Boeuf,67.4,5.67,1,Frais,Vrac,2024-09-27 10:00:00,Friday,9,Pluies,0,S031,Yamoussoukro,31.8,P019,416,405.9,31.5,0.5,16.0,0,55.5,Périmé avant collecte partenaire,1
4750,Surgelés,Légumes surgelés,50.6,3.45,31,Surgelé,Plastique,2025-06-05 05:00:00,Thursday,6,Pluies,0,S029,Abidjan,24.2,P015,482,261.1,27.5,2.0,151.5,1,51.7,,5
4751,Fruits & Légumes,Fruits à coque,5.5,1.01,1,Frais,Carton,2024-10-09 17:00:00,Wednesday,10,Pluies,0,S032,Abidjan,32.9,P001,955,184.0,26.9,7.4,12.6,1,70.9,,4
4752,Épicerie Sèche,Riz,25.5,1.84,34,Sec,Vrac,2024-10-31 22:00:00,Thursday,10,Pluies,0,S017,Bouaké,5.7,P023,1501,404.5,26.7,11.2,129.4,1,71.3,,3
4753,Produits Laitiers,Yaourt,50.8,2.27,4,Frais,Plastique,2024-07-25 11:00:00,Thursday,7,Pluies,0,S038,Abidjan,40.0,P025,1871,202.3,26.2,4.2,26.5,1,66.4,,1
4754,Produits Laitiers,Beurre,41.1,2.14,1,Frais,Carton,2024-02-18 14:00:00,Sunday,2,Sèche,0,S030,Korhogo,33.8,P013,970,799.3,28.1,6.5,12.2,1,46.7,,4
4755,Fruits & Légumes,Légumes feuilles,8.1,1.54,3,Frais,Vrac,2024-06-06 03:00:00,Thursday,6,Pluies,0,S025,Bouaké,31.9,P004,691,147.4,30.9,2.4,24.2,1,44.4,,4
4756,Fruits & Légumes,Légumes feuilles,21.7,1.06,1,Frais,Carton,2024-10-24 12:00:00,Thursday,10,Pluies,0,S036,Korhogo,31.7,P001,167,439.5,30.1,1.2,12.5,1,77.9,,5
4757,Fruits & Légumes,Légumes racines,8.4,1.4,3,Frais,Carton,2024-02-11 16:00:00,Sunday,2,Sèche,0,S024,Korhogo,24.4,P022,347,380.2,25.9,2.2,20.0,1,66.5,,3
4758,Épicerie Sèche,Conserves,30.4,2.27,27,Sec,Vrac,2024-12-06 04:00:00,Friday,12,Sèche,0,S016,Yamoussoukro,40.1,P024,1071,159.1,28.2,2.5,143.0,1,62.0,,2
4759,Épicerie Sèche,Conserves,14.7,1.78,51,Sec,Carton,2024-09-13 17:00:00,Friday,9,Pluies,0,S012,Abidjan,12.7,P013,955,723.5,24.1,0.8,176.7,1,44.5,,4
4760,Viande & Poisson,Charcuterie,25.5,4.2,2,Frais,Plastique,2024-10-16 09:00:00,Wednesday,10,Pluies,0,S010,Korhogo,34.5,P016,1994,691.0,26.0,3.4,26.8,0,70.7,Refusé par partenaire (qualité),2
4761,Viande & Poisson,Boeuf,36.2,5.24,2,Frais,Carton,2024-06-24 14:00:00,Monday,6,Pluies,0,S013,San-Pédro,9.9,P016,1098,770.5,33.2,12.3,18.3,1,33.4,,3
4762,Fruits & Légumes,Agrumes,14.5,1.36,3,Frais,Plastique,2025-05-27 16:00:00,Tuesday,5,Pluies,0,S034,Abidjan,1.2,P022,1677,656.7,24.2,1.6,18.3,1,37.6,,4
4763,Boulangerie,Viennoiserie,27.5,1.84,1,Ambiante,Plastique,2024-02-10 11:00:00,Saturday,2,Sèche,0,S036,Yamoussoukro,43.3,P016,1164,536.4,30.9,1.1,10.9,1,33.8,,4
4764,Viande & Poisson,Charcuterie,15.9,5.71,1,Frais,Plastique,2025-05-01 02:00:00,Thursday,5,Pluies,0,S001,Abidjan,10.6,P023,682,183.8,29.1,22.0,17.1,0,79.2,Refusé par partenaire (qualité),1
4765,Boulangerie,Pâtisserie,15.0,1.71,1,Ambiante,Carton,2025-06-23 22:00:00,Monday,6,Pluies,0,S031,Abidjan,16.8,P003,1270,448.1,24.6,9.0,19.2,0,54.3,Périmé avant collecte partenaire,2
4766,Produits Laitiers,Beurre,15.4,1.94,1,Frais,Sachet,2024-02-12 22:00:00,Monday,2,Sèche,0,S019,Korhogo,3.2,P008,1010,796.8,31.7,5.0,9.5,1,70.4,,3
4767,Boulangerie,Viennoiserie,16.8,1.59,1,Ambiante,Carton,2024-07-17 20:00:00,Wednesday,7,Pluies,0,S013,Korhogo,22.6,P011,568,693.7,27.8,2.4,10.9,1,54.2,,4
4768,Fruits & Légumes,Légumes racines,72.0,0.98,1,Frais,Carton,2024-08-16 10:00:00,Friday,8,Pluies,0,S012,Korhogo,26.9,P019,95,343.6,24.2,1.8,10.8,1,45.7,,4
4769,Produits Laitiers,Beurre,117.8,2.2,4,Frais,Vrac,2024-12-12 18:00:00,Thursday,12,Sèche,0,S010,San-Pédro,30.5,P008,759,429.5,34.5,5.3,51.6,0,66.0,Surstock partenaire (capacité pleine),1
4770,Fruits & Légumes,Agrumes,75.4,1.21,2,Frais,Carton,2024-01-19 14:00:00,Friday,1,Sèche,0,S024,Abidjan,6.8,P024,1271,678.8,26.5,2.1,13.5,1,71.7,,4
4771,Surgelés,Viande surgelée,7.9,2.53,26,Surgelé,Plastique,2024-04-11 08:00:00,Thursday,4,Pluies,0,S001,San-Pédro,8.3,P019,1432,237.9,23.0,5.5,174.1,0,80.2,Refusé par partenaire (qualité),2
4772,Fruits & Légumes,Légumes racines,10.1,1.49,3,Frais,Plastique,2024-07-08 11:00:00,Monday,7,Pluies,0,S026,Abidjan,5.7,P017,1451,376.1,32.3,0.6,17.0,1,58.0,,4
4773,Produits Laitiers,Yaourt,16.3,2.36,1,Frais,Plastique,2024-07-01 02:00:00,Monday,7,Pluies,0,S024,Abidjan,21.4,P015,1976,237.7,32.7,15.4,11.9,1,57.1,,4
4774,Produits Laitiers,Yaourt,61.1,2.02,1,Frais,Plastique,2024-03-20 00:00:00,Wednesday,3,Sèche,1,S013,Abidjan,43.8,P021,1824,420.1,29.6,8.2,8.6,1,50.1,,4
4775,Viande & Poisson,Charcuterie,14.7,5.52,2,Frais,Vrac,2024-09-13 22:00:00,Friday,9,Pluies,0,S003,Abidjan,35.4,P010,1887,206.1,28.0,2.9,16.5,1,61.2,,5
4776,Fruits & Légumes,Agrumes,14.8,1.56,2,Frais,Plastique,2024-03-04 22:00:00,Monday,3,Sèche,0,S022,San-Pédro,11.8,P005,102,783.8,29.6,0.2,13.8,1,36.2,,3
4777,Viande & Poisson,Volaille,87.0,3.92,1,Frais,Carton,2025-02-04 15:00:00,Tuesday,2,Sèche,0,S016,Abidjan,6.3,P001,1423,321.6,29.8,6.0,18.4,0,66.9,Périmé avant collecte partenaire,1
4778,Viande & Poisson,Volaille,9.8,5.04,2,Frais,Plastique,2024-12-18 19:00:00,Wednesday,12,Sèche,0,S035,Bouaké,8.2,P022,1369,531.8,27.9,2.0,13.1,1,76.4,,4
4779,Boulangerie,Pain,37.8,1.42,1,Ambiante,Carton,2024-02-28 12:00:00,Wednesday,2,Sèche,0,S037,Abidjan,19.4,P009,1102,511.8,30.5,2.1,15.5,0,79.7,Surstock partenaire (capacité pleine),2
4780,Épicerie Sèche,Conserves,38.5,2.05,11,Sec,Vrac,2025-01-15 14:00:00,Wednesday,1,Sèche,0,S003,Abidjan,27.7,P023,718,461.9,29.1,2.6,51.7,1,35.7,,5
4781,Boulangerie,Pâtisserie,6.7,1.76,1,Ambiante,Vrac,2025-03-30 01:00:00,Sunday,3,Sèche,0,S001,Yamoussoukro,6.4,P006,1050,208.0,32.4,1.1,12.0,1,41.6,,4
4782,Fruits & Légumes,Fruits à coque,26.9,1.47,3,Frais,Carton,2025-01-12 12:00:00,Sunday,1,Sèche,0,S023,Yamoussoukro,30.2,P007,950,93.6,29.8,0.8,21.5,1,71.9,,2
4783,Fruits & Légumes,Fruits à noyau,42.2,1.33,2,Frais,Plastique,2024-07-26 08:00:00,Friday,7,Pluies,0,S018,Abidjan,42.1,P010,722,340.3,28.4,0.8,14.9,1,38.4,,3
4784,Boulangerie,Pain,52.7,1.95,1,Ambiante,Vrac,2024-12-04 21:00:00,Wednesday,12,Sèche,0,S007,Bouaké,28.2,P024,1177,633.9,26.1,19.4,20.1,0,75.9,Problème logistique / retard transport,1
4785,Viande & Poisson,Volaille,51.2,5.2,1,Frais,Vrac,2024-09-27 19:00:00,Friday,9,Pluies,0,S038,Bouaké,11.8,P017,1993,402.4,26.8,1.2,22.2,0,51.3,Problème logistique / retard transport,1
